exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
uZKq7lo,Forward Jump,3,body weight,quads,"calves, hamstrings, glutes",upper legs,4,https://static.exercisedb.dev/media/uZKq7lo.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Bend your knees and lower your body into a squat position. | Step:3 Swing your arms back for momentum. | Step:4 Jump forward explosively, extending your hips, knees, and ankles. | Step:5 Land softly on the balls of your feet and immediately go into the next jump. | Step:6 Repeat for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,6.5,6.0,7.0,7.0,6.0,6.3
1g5bPpA,Jack Jump (Male),2,body weight,cardiovascular system,"quadriceps, calves",cardio,3,https://static.exercisedb.dev/media/1g5bPpA.gif,"Step:1 Stand with your feet together and your arms by your sides. | Step:2 Jump up, spreading your feet apart and raising your arms above your head. | Step:3 As you land, quickly jump back to the starting position. | Step:4 Repeat for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,7.5,7.0,6.0,6.0,4.0,6.3
EpKrFiv,Incline Push Up Depth Jump With Complex,4,body weight,pectorals,"triceps, shoulders, core",chest,4,https://static.exercisedb.dev/media/EpKrFiv.gif,"Step:1 Find an elevated surface, such as a bench or step, and place your hands shoulder-width apart on the edge. | Step:2 Step your feet back, keeping your body in a straight line from head to heels. | Step:3 Lower your chest towards the edge of the surface, bending your elbows and keeping your body aligned. Maintain complex form throughout. | Step:4 Push through your palms to extend your arms and return to the starting position. | Step:5 Jump off the edge of the surface, landing softly with your knees slightly bent. | Step:6 Repeat the push-up and depth jump for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,4.5,5.0,6.0,8.0,7.0,6.3
SaDOwk7,Backward Jump,2,body weight,quads,"hamstrings, glutes, calves",upper legs,4,https://static.exercisedb.dev/media/SaDOwk7.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Bend your knees slightly and jump backwards, pushing off with both feet. | Step:3 Land softly on the balls of your feet, bending your knees to absorb the impact. | Step:4 Repeat for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,7.5,7.0,6.0,6.0,4.0,6.3
PM1PZjg,Lunge With Jump,2,body weight,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/PM1PZjg.gif,"Step:1 Start by standing with your feet shoulder-width apart. | Step:2 Take a step forward with your right foot, lowering your body into a lunge position. | Step:3 Push off with your right foot and jump into the air, switching the position of your feet mid-air. | Step:4 Land softly with your left foot forward and immediately lower your body into a lunge position. | Step:5 Continue alternating between lunges and jumps for the desired number of repetitions.",7.5,10.0,3.0,9.0,10.0,7.5,0.0,2.0,8.5,0.0,Strength Training,6.7,8.5,5.9,5.9,7.5,7.5,7.0,6.0,6.0,4.0,6.3
nqs5HGV,Single Leg Squat (Pistol) Male,3,body weight,glutes,"quadriceps, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/nqs5HGV.gif,"Step:1 Stand with your feet shoulder-width apart and arms extended in front of you. | Step:2 Lift your right foot off the ground and extend it forward. | Step:3 Slowly lower your body down by bending your left knee and pushing your hips back. | Step:4 Keep your chest up and your back straight as you lower yourself down. | Step:5 Lower until your left thigh is parallel to the ground, or as low as you can comfortably go. | Step:6 Pause for a moment at the bottom, then push through your left heel to return to the starting position. | Step:7 Repeat for the desired number of repetitions, then switch legs.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,8.5,0.0,9.0,Strength Training,5.9,4.4,8.3,8.3,5.5,7.5,7.0,7.0,6.0,5.0,5.9
UtmIqcI,Side Wrist Pull Stretch,2,body weight,forearms,"wrists, hands",lower arms,3,https://static.exercisedb.dev/media/UtmIqcI.gif,"Step:1 Stand with your feet shoulder-width apart and your arms extended in front of you. | Step:2 Extend your right arm out to the side, parallel to the ground, with your palm facing down. | Step:3 With your left hand, grab your right hand and gently pull it towards your body, feeling a stretch in your right forearm. | Step:4 Hold the stretch for 15-30 seconds, then release. | Step:5 Repeat on the other side.",0.0,10.0,10.0,0.0,5.0,6.0,9.0,6.5,0.0,9.0,Strength Training,5.8,3.6,7.5,7.5,5.0,8.5,8.0,6.0,5.0,3.0,5.7
5BZHW9s,Squat To Overhead Reach With Twist,2,body weight,quads,"glutes, hamstrings, core",upper legs,4,https://static.exercisedb.dev/media/5BZHW9s.gif,"Step:1 Stand with your feet shoulder-width apart and toes slightly turned out. | Step:2 Lower your body into a squat position by bending your knees and pushing your hips back. | Step:3 As you come up from the squat, raise your arms overhead and twist your torso to one side. | Step:4 Return to the starting position and repeat the squat, this time twisting your torso to the opposite side. | Step:5 Continue alternating sides with each squat repetition.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
zkgRrbK,Hyperextension (On Bench),1,body weight,spine,"glutes, hamstrings",back,3,https://static.exercisedb.dev/media/zkgRrbK.gif,"Step:1 Adjust the hyperextension bench so that your hips are resting comfortably on the pad and your feet are secured. | Step:2 Cross your arms over your chest or place your hands behind your head. | Step:3 Slowly lower your upper body towards the ground while keeping your back straight. | Step:4 Pause for a moment at the bottom, then raise your upper body back up until it is in line with your legs. | Step:5 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,9.5,7.0,5.0,3.0,3.0,5.4
ms7tjSG,Inverse Leg Curl (Bench Support),1,body weight,hamstrings,"glutes, calves",upper legs,3,https://static.exercisedb.dev/media/ms7tjSG.gif,"Step:1 Lie face down on a bench with your hips at the edge and your legs extended straight behind you. | Step:2 Hold onto the bench for support. | Step:3 Keeping your upper body still, bend your knees and curl your legs towards your glutes. | Step:4 Pause for a moment at the top, then slowly extend your legs back to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,9.5,7.0,5.0,3.0,3.0,5.4
E4PwJqI,Self Assisted Inverse Leg Curl,2,body weight,hamstrings,"glutes, calves",upper legs,3,https://static.exercisedb.dev/media/E4PwJqI.gif,"Step:1 Lie face down on a leg curl machine with your legs extended and your ankles hooked under the padded lever. | Step:2 Place your hands on the side handles of the machine for support. | Step:3 Keeping your upper body stationary, exhale and curl your legs upward as far as possible. | Step:4 Hold the contracted position for a brief pause as you squeeze your hamstrings. | Step:5 Slowly lower your legs back to the starting position while inhaling. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
0V2YQjW,Pull Up (Neutral Grip),3,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/0V2YQjW.gif,"Step:1 Hang from a pull-up bar with a neutral grip (palms facing each other) and your arms fully extended. | Step:2 Engage your core and squeeze your shoulder blades together. | Step:3 Pull your body up towards the bar by bending your elbows and driving your elbows down towards your hips. | Step:4 Continue pulling until your chin is above the bar. | Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position with control. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
d1GgzTU,L-Pull-Up,3,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/d1GgzTU.gif,"Step:1 Grab the pull-up bar with an overhand grip, slightly wider than shoulder-width apart. | Step:2 Hang with your arms fully extended and your body straight. | Step:3 Engage your lats and biceps to pull your body up towards the bar, keeping your elbows close to your body. | Step:4 Continue pulling until your chin is above the bar. | Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
OYFhXVD,Wide Grip Rear Pull-Up,3,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/OYFhXVD.gif,"Step:1 Grab the pull-up bar with a wide overhand grip, hands slightly wider than shoulder-width apart. | Step:2 Hang from the bar with your arms fully extended and your body straight. | Step:3 Engage your back muscles and pull your body up towards the bar, leading with your chest. | Step:4 Continue pulling until your chin is above the bar. | Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
DoEYq4s,Sissy Squat Isolation,3,body weight,quads,"calves, glutes",upper legs,3,https://static.exercisedb.dev/media/DoEYq4s.gif,"Step:1 Stand with your feet shoulder-width apart and your toes pointing slightly outward. | Step:2 Hold onto a stable object for balance if needed. | Step:3 Slowly lower your body by bending your knees and leaning back, keeping your torso upright. | Step:4 Continue lowering until your thighs are parallel to the ground or as far as you can comfortably go. | Step:5 Pause for a moment, then push through your heels to return to the starting position. | Step:6 Repeat for the desired number of repetitions. Emphasize isolation control.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
0rHfvy9,Inverse Leg Curl (On Pull-Up Cable Machine),2,body weight,hamstrings,"glutes, calves",upper legs,3,https://static.exercisedb.dev/media/0rHfvy9.gif,"Step:1 Adjust the cable machine so that the ankle straps are at the lowest setting. | Step:2 Lie face down on the bench with your legs extended and the ankle straps attached to your feet. | Step:3 Hold onto the handles of the bench for stability. | Step:4 Bend your knees and curl your legs towards your glutes, squeezing your hamstrings. | Step:5 Pause for a moment at the top of the movement, then slowly lower your legs back to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
QChZi3x,Squat To Overhead Reach,2,body weight,quads,"glutes, hamstrings, core",upper legs,4,https://static.exercisedb.dev/media/QChZi3x.gif,"Step:1 Stand with your feet shoulder-width apart and toes slightly turned out. | Step:2 Lower your body down into a squat position by bending your knees and pushing your hips back. | Step:3 As you come up from the squat, extend your arms overhead, reaching towards the ceiling. | Step:4 Return to the starting position by lowering your arms and bending your knees to squat down again. | Step:5 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
75Bgtjy,Potty Squat,3,body weight,abs,"quadriceps, glutes",waist,3,https://static.exercisedb.dev/media/75Bgtjy.gif,"Step:1 Stand with your feet shoulder-width apart, toes pointing slightly outward. | Step:2 Lower your body down by bending your knees and pushing your hips back as if you were sitting on a chair. | Step:3 Keep your chest up and your back straight throughout the movement. | Step:4 Lower yourself until your thighs are parallel to the ground or as low as you can comfortably go. | Step:5 Pause for a moment at the bottom, then push through your heels to return to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
XgWyAiA,Chest Dip (On Dip-Pull-Up Cage),4,body weight,pectorals,"triceps, shoulders",chest,3,https://static.exercisedb.dev/media/XgWyAiA.gif,"Step:1 Adjust the dip bars to a height that allows you to comfortably grip them. | Step:2 Stand between the bars and place your hands on each bar, slightly wider than shoulder-width apart. | Step:3 Jump up and straighten your arms, supporting your body weight on the bars. | Step:4 Bend your knees and cross your ankles behind you. | Step:5 Lower your body by bending your elbows, keeping your chest up and your shoulders down. | Step:6 Continue lowering until your shoulders are below your elbows or until you feel a stretch in your chest. | Step:7 Push through your palms and extend your elbows to raise your body back up to the starting position. | Step:8 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,5.5,6.0,6.0,7.0,6.0,5.4
cQ19bBP,Rocky Pull-Up Pulldown,3,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/cQ19bBP.gif,"Step:1 Stand in front of a pull-up bar with your feet shoulder-width apart. | Step:2 Reach up and grab the bar with an overhand grip, slightly wider than shoulder-width apart. | Step:3 Hang from the bar with your arms fully extended and your body straight. | Step:4 Engage your back muscles and pull your body up towards the bar, leading with your chest. | Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
GwYwElT,Self Assisted Inverse Leg Curl,1,body weight,hamstrings,"glutes, calves",upper legs,3,https://static.exercisedb.dev/media/GwYwElT.gif,"Step:1 Lie flat on your back on a mat or bench with your legs extended. | Step:2 Place your hands by your sides or under your glutes for support. | Step:3 Bend your knees and lift your feet off the ground, bringing your thighs towards your chest. | Step:4 Pause for a moment at the top, then slowly lower your legs back to the starting position. | Step:5 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,9.5,7.0,5.0,3.0,3.0,5.4
zd4P4B2,Stalder Press,3,body weight,triceps,"shoulders, core",upper arms,3,https://static.exercisedb.dev/media/zd4P4B2.gif,"Step:1 Start by standing with your feet shoulder-width apart and your arms extended overhead. | Step:2 Bend your knees slightly and engage your core. | Step:3 Lower your body down into a squat position while keeping your arms extended overhead. | Step:4 As you squat down, press your arms down towards the ground, engaging your triceps. | Step:5 Pause for a moment at the bottom of the squat, then push through your heels to stand back up while simultaneously raising your arms back overhead. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
xcLntTC,Slow Leg Pull In Flat Bench,2,body weight,abs,"hip flexors, lower back",waist,3,https://static.exercisedb.dev/media/xcLntTC.gif,"Step:1 Sit on a flat bench with your legs extended straight out in front of you. | Step:2 Place your hands on the bench beside your hips for support. | Step:3 Engage your abs and lift your legs off the ground, bringing your knees towards your chest. | Step:4 Pause for a moment at the top, then slowly lower your legs back down to the starting position. | Step:5 Repeat for the desired number of repetitions. Maintain slow form throughout.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
wXvUZC8,Push And Pull Bodyweight,3,body weight,pectorals,"triceps, deltoids",chest,3,https://static.exercisedb.dev/media/wXvUZC8.gif,"Step:1 Start in a push-up position with your hands slightly wider than shoulder-width apart and your body in a straight line. | Step:2 Lower your chest towards the ground by bending your elbows, keeping your body straight. | Step:3 Push through your palms to extend your arms and return to the starting position. | Step:4 From the push-up position, pull your chest towards the ground by bending your elbows, keeping your body straight. | Step:5 Push through your palms to extend your arms and return to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
Qqi7bko,Wide Grip Pull-Up,2,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/Qqi7bko.gif,Step:1 Hang from a pull-up bar with your palms facing away from you and your hands wider than shoulder-width apart. | Step:2 Engage your core and squeeze your shoulder blades together. | Step:3 Pull your body up towards the bar until your chin is above the bar. | Step:4 Lower your body back down to the starting position with control. | Step:5 Repeat for the desired number of repetitions.,0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
QpXqiq8,Suspended Split Squat,2,body weight,quads,"glutes, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/QpXqiq8.gif,"Step:1 Stand facing away from a suspension trainer with your feet shoulder-width apart. | Step:2 Extend one leg forward and place the top of your foot in the foot cradle of the suspension trainer. | Step:3 Bend your standing leg and lower your body down into a lunge position, keeping your chest up and your knee in line with your toes. | Step:4 Push through your heel to return to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch legs.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
YAk5dIw,Reverse Grip Pull-Up,3,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/YAk5dIw.gif,"Step:1 Grab the pull-up bar with an underhand grip, hands shoulder-width apart. | Step:2 Hang from the bar with your arms fully extended and your body straight. | Step:3 Engage your back muscles and pull your body up towards the bar, leading with your chest. | Step:4 Continue pulling until your chin is above the bar. | Step:5 Pause for a moment at the top, then slowly lower your body back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
Rsxr3xl,One Arm Against Wall Compressed,2,body weight,lats,"shoulders, triceps",back,3,https://static.exercisedb.dev/media/Rsxr3xl.gif,"Step:1 Stand facing a wall with your feet shoulder-width apart. | Step:2 Extend one arm straight out in front of you and place your palm against the wall. | Step:3 Engage your core and lean your body forward, keeping your arm straight and your back flat. Maintain compressed form throughout. | Step:4 Slowly push against the wall with your palm, activating your lat muscles. | Step:5 Hold the position for a few seconds, then release and repeat with the other arm.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
72BC5Za,Archer Pull Up,3,body weight,lats,"biceps, forearms",back,3,https://static.exercisedb.dev/media/72BC5Za.gif,"Step:1 Start by hanging from a pull-up bar with an overhand grip, slightly wider than shoulder-width apart. | Step:2 Engage your core and pull your shoulder blades down and back. | Step:3 As you pull yourself up, bend one arm and bring your elbow towards your side, while keeping the other arm straight. | Step:4 Continue pulling until your chin is above the bar and your bent arm is fully flexed. | Step:5 Lower yourself back down with control, straightening the bent arm and repeating the movement on the other side. | Step:6 Alternate sides with each repetition.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,7.5,7.0,7.0,6.0,5.0,5.4
s0HKO2I,Bodyweight Kneeling Triceps Extension,2,body weight,triceps,"shoulders, chest",upper arms,3,https://static.exercisedb.dev/media/s0HKO2I.gif,"Step:1 Kneel down on the ground with your knees hip-width apart. | Step:2 Place your hands on the ground in front of you, shoulder-width apart, fingers pointing forward. | Step:3 Extend your legs straight behind you, balancing on your toes and hands, forming a straight line from head to heels. | Step:4 Bend your elbows and lower your upper body towards the ground, keeping your elbows close to your sides. | Step:5 Pause for a moment at the bottom, then push through your hands to straighten your arms and return to the starting position. | Step:6 Repeat for the desired number of repetitions.",0.0,10.0,10.0,0.0,10.0,6.0,0.0,2.0,0.0,9.0,Strength Training,5.0,4.4,8.3,8.3,4.9,8.5,8.0,6.0,5.0,3.0,5.4
