exercise_id,name,complexity_level,primary_equipment,target_muscles,secondary_muscles,body_parts,total_muscle_groups,gif_url,instructions,cardiovascular_endurance_score,muscular_strength_score,muscular_hypertrophy_score,power_development_score,functional_movement_score,calorie_expenditure_score,flexibility_mobility_score,balance_coordination_score,metabolic_conditioning_score,progressive_overload_score,primary_training_category,maintain_weight_compatibility,lose_weight_compatibility,gain_weight_compatibility,build_muscle_compatibility,improve_fitness_compatibility,sedentary_suitability,lightly_active_suitability,moderately_active_suitability,very_active_suitability,extremely_active_suitability,overall_quality_score
83HoW9X,Barbell Upright Row V. 2,2,barbell,delts,"traps, biceps",shoulders,3,https://static.exercisedb.dev/media/83HoW9X.gif,"Step:1 Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Step:2 Let the barbell hang in front of your thighs, arms fully extended. | Step:3 Keeping your back straight, exhale and lift the barbell straight up towards your chin, leading with your elbows. | Step:4 Pause for a moment at the top, then inhale and slowly lower the barbell back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,5.0,7.0,6.0,6.0,4.0,2.3
fI18Rbc,Barbell Upright Row V. 3,2,barbell,delts,"traps, biceps",shoulders,3,https://static.exercisedb.dev/media/fI18Rbc.gif,"Step:1 Stand with your feet shoulder-width apart and hold a barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Step:2 Let the barbell hang in front of your thighs, arms fully extended. | Step:3 Keeping your core engaged and back straight, exhale as you lift the barbell straight up towards your chin, leading with your elbows. | Step:4 Pause for a moment at the top, then inhale as you slowly lower the barbell back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,5.0,7.0,6.0,6.0,4.0,2.3
mWppALS,Groin Crunch,1,body weight,abs,"hip flexors, inner thighs",waist,3,https://static.exercisedb.dev/media/mWppALS.gif,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground. | Step:2 Place your hands behind your head with your elbows pointing outwards. | Step:3 Engaging your abs, lift your legs off the ground, bringing your knees towards your chest. | Step:4 Pause for a moment at the top, then slowly lower your legs back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,8.5,6.0,5.0,3.0,3.0,2.3
Y9hNPcN,Seated Side Crunch (Wall),2,body weight,abs,obliques,waist,2,https://static.exercisedb.dev/media/Y9hNPcN.gif,"Step:1 Sit on the floor with your back against a wall and your legs extended in front of you. | Step:2 Bend your knees and place your feet flat on the floor, hip-width apart. | Step:3 Place your hands behind your head with your elbows pointing outwards. | Step:4 Engage your abs and lean to one side, bringing your elbow towards your hip. | Step:5 Pause for a moment, then return to the starting position. | Step:6 Repeat on the other side. | Step:7 Continue alternating sides for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,7.5,7.0,6.0,5.0,3.0,2.3
SKXQAx3,Roller Reverse Crunch,1,roller,abs,hip flexors,waist,2,https://static.exercisedb.dev/media/SKXQAx3.gif,"Step:1 Lie flat on your back with your arms extended straight above your head and your legs straight out in front of you. | Step:2 Place the roller between your feet and grip it with your toes. | Step:3 Engaging your abs, lift your legs off the ground and curl your knees towards your chest, rolling the roller towards your body. | Step:4 Pause for a moment at the top, then slowly lower your legs back down to the starting position, rolling the roller away from your body. | Step:5 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,7.0,6.0,5.0,3.0,3.0,2.3
eZyBC3j,Barbell Bent Over Row,3,barbell,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/eZyBC3j.gif,"Step:1 Stand with your feet shoulder-width apart and knees slightly bent. | Step:2 Bend forward at the hips while keeping your back straight and chest up. | Step:3 Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Step:4 Pull the barbell towards your lower chest by retracting your shoulder blades and squeezing your back muscles. | Step:5 Pause for a moment at the top, then slowly lower the barbell back to the starting position. | Step:6 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.0,6.0,7.0,7.0,6.0,2.3
O4oIqQD,Bodyweight Standing One Arm Row (With Towel),2,body weight,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/O4oIqQD.gif,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a towel with one hand. | Step:2 Bend forward at the hips, keeping your back straight and your core engaged. | Step:3 Pull the towel towards your chest, squeezing your shoulder blades together. | Step:4 Pause for a moment at the top, then slowly lower the towel back to the starting position. | Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,7.5,7.0,6.0,5.0,3.0,2.3
ZIViNh1,Dumbbell Reverse Grip Incline Bench One Arm Row,5,dumbbell,upper back,"biceps, shoulders",back,3,https://static.exercisedb.dev/media/ZIViNh1.gif,"Step:1 Set up an incline bench at a 45-degree angle. | Step:2 Place a dumbbell on the floor next to the bench. | Step:3 Stand facing the bench with your feet shoulder-width apart. | Step:4 Bend at the waist and place your left knee and left hand on the bench for support. | Step:5 Pick up the dumbbell with your right hand using a reverse grip (palm facing down). | Step:6 Keep your back straight and your core engaged. | Step:7 Pull the dumbbell up towards your chest, keeping your elbow close to your body. | Step:8 Squeeze your back muscles at the top of the movement. | Step:9 Lower the dumbbell back down to the starting position in a controlled manner. | Step:10 Repeat for the desired number of repetitions. | Step:11 Switch sides and repeat the exercise with your left arm.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.5,3.0,5.0,6.0,7.0,2.3
7uFJuXp,Weighted Kneeling Step With Swing,2,weighted,delts,"triceps, core",shoulders,3,https://static.exercisedb.dev/media/7uFJuXp.gif,"Step:1 Start in a kneeling position with your knees hip-width apart and your back straight. | Step:2 Hold a weight in each hand, with your arms extended straight down in front of you. | Step:3 Engage your core and swing the weights up and overhead, keeping your arms straight. | Step:4 Lower the weights back down to the starting position and repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.0,7.0,6.0,5.0,3.0,2.3
pX9Elbe,Medicine Ball Chest Push With Run Release,3,medicine ball,pectorals,"triceps, shoulders, core",chest,4,https://static.exercisedb.dev/media/pX9Elbe.gif,"Step:1 Stand with your feet shoulder-width apart, holding a medicine ball at chest level. | Step:2 Step forward with your right foot and simultaneously push the medicine ball forward, extending your arms fully. | Step:3 As you push the ball forward, release it and let it roll forward. | Step:4 Quickly run forward and catch the ball before it hits the ground. | Step:5 Once you catch the ball, bring it back to your chest and repeat the movement with your left foot forward. | Step:6 Continue alternating legs and repeating the exercise for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,5.0,6.0,7.0,6.0,5.0,2.3
ZgwWBoC,Cable Thibaudeau Kayak Row,3,cable,lats,"biceps, rhomboids, rear deltoids",back,4,https://static.exercisedb.dev/media/ZgwWBoC.gif,"Step:1 Attach a cable handle to a low pulley and sit facing the machine with your feet flat on the floor. | Step:2 Grasp the handle with your right hand and extend your arm fully, keeping a slight bend in your elbow. | Step:3 Lean forward from your hips, keeping your back straight and your abs engaged. | Step:4 Pull the handle towards your torso by retracting your shoulder blade and bending your elbow, keeping your arm close to your body. | Step:5 Squeeze your back muscles at the top of the movement, then slowly return to the starting position. | Step:6 Repeat for the desired number of repetitions, then switch sides and perform with your left arm.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.0,6.0,7.0,7.0,6.0,2.3
TFqbd8t,Crunch Floor,1,body weight,abs,hip flexors,waist,2,https://static.exercisedb.dev/media/TFqbd8t.gif,"Step:1 Lie flat on your back with your knees bent and feet flat on the ground. | Step:2 Place your hands behind your head with your elbows pointing outwards. | Step:3 Engage your abs and lift your shoulders off the ground, curling forward towards your knees. | Step:4 Pause for a moment at the top, then slowly lower your shoulders back down to the starting position. | Step:5 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,8.5,6.0,5.0,3.0,3.0,2.3
4OaumBr,Suspended Row,3,body weight,upper back,"biceps, shoulders",back,3,https://static.exercisedb.dev/media/4OaumBr.gif,"Step:1 Set up a suspension trainer at an appropriate height. | Step:2 Stand facing the anchor point with your feet shoulder-width apart. | Step:3 Hold the handles with an overhand grip, palms facing each other. | Step:4 Lean back, keeping your body straight and your heels on the ground. | Step:5 Pull your chest towards the handles, squeezing your shoulder blades together. | Step:6 Pause for a moment at the top, then slowly lower yourself back to the starting position. | Step:7 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.5,6.0,7.0,6.0,5.0,2.3
ErqK3UL,Posterior Step To Overhead Reach,3,body weight,abs,"glutes, hamstrings, quadriceps, shoulders",waist,5,https://static.exercisedb.dev/media/ErqK3UL.gif,"Step:1 Stand with your feet hip-width apart and your arms by your sides. | Step:2 Take a step back with your right foot, landing on the ball of your foot. | Step:3 Bend your left knee and lower your body into a lunge position. | Step:4 As you lower into the lunge, simultaneously reach your arms overhead. | Step:5 Pause for a moment at the bottom of the lunge, then return to the starting position by pushing through your left heel and bringing your right foot forward. | Step:6 Repeat the movement on the other side, stepping back with your left foot and bending your right knee. | Step:7 Continue alternating sides for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.5,6.0,7.0,6.0,5.0,2.3
r0z6xzQ,Barbell Pendlay Row,3,barbell,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/r0z6xzQ.gif,"Step:1 Stand with your feet shoulder-width apart and your knees slightly bent. | Step:2 Bend forward at the hips, keeping your back straight and your chest up. | Step:3 Grasp the barbell with an overhand grip, slightly wider than shoulder-width apart. | Step:4 Pull the barbell towards your upper abdomen, squeezing your shoulder blades together. | Step:5 Lower the barbell back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.0,6.0,7.0,7.0,6.0,2.3
Jsgsc27,Barbell One Arm Bent Over Row,2,barbell,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/Jsgsc27.gif,"Step:1 Stand with your feet shoulder-width apart, knees slightly bent, and hold a barbell with one hand using an overhand grip. | Step:2 Bend forward at the hips, keeping your back straight and your head in a neutral position. | Step:3 Pull the barbell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. | Step:4 Lower the barbell back down to the starting position in a controlled manner. | Step:5 Repeat for the desired number of repetitions, then switch to the other arm.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,5.0,7.0,6.0,6.0,4.0,2.3
fNGumX0,Back And Forth Step,3,body weight,cardiovascular system,"quadriceps, hamstrings, glutes, calves",cardio,5,https://static.exercisedb.dev/media/fNGumX0.gif,"Step:1 Stand with your feet shoulder-width apart. | Step:2 Step forward with your right foot, bending your knee and lowering your body into a lunge position. | Step:3 Push off with your right foot and step back to the starting position. | Step:4 Repeat the movement with your left foot, alternating legs with each step. | Step:5 Continue stepping back and forth, maintaining a steady pace. | Step:6 Repeat for the desired duration or number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.5,6.0,7.0,6.0,5.0,2.3
a8VDgLw,Stationary Bike Walk,3,leverage machine,cardiovascular system,"quadriceps, hamstrings, calves",cardio,4,https://static.exercisedb.dev/media/a8VDgLw.gif,"Step:1 Adjust the seat height and position on the stationary bike to ensure proper alignment. | Step:2 Place your feet on the pedals and secure them with the straps if available. | Step:3 Start pedaling at a comfortable pace, keeping your back straight and core engaged. | Step:4 Maintain a steady rhythm and increase the resistance level if desired. | Step:5 Continue pedaling for the desired duration of your cardio workout. | Step:6 Cool down by gradually reducing your pace and resistance level. | Step:7 Stretch your leg muscles after the workout to prevent tightness and promote recovery.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,5.0,6.0,7.0,6.0,5.0,2.3
1DN3iz4,Smith Upright Row,3,smith machine,delts,"traps, biceps",shoulders,3,https://static.exercisedb.dev/media/1DN3iz4.gif,"Step:1 Stand with your feet shoulder-width apart, facing the smith machine. | Step:2 Grasp the barbell with an overhand grip, hands slightly wider than shoulder-width apart. | Step:3 Keep your back straight and your core engaged. | Step:4 Pull the barbell up towards your chin, leading with your elbows. | Step:5 Pause for a moment at the top, then slowly lower the barbell back down to the starting position. | Step:6 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.0,6.0,7.0,7.0,6.0,2.3
vpp9Ku2,Cable Seated One Arm Alternate Row,3,cable,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/vpp9Ku2.gif,"Step:1 Sit on a bench facing a cable machine with your feet flat on the ground and knees slightly bent. | Step:2 Grasp the handle with one hand and keep your arm fully extended in front of you. | Step:3 Pull the handle towards your body, retracting your shoulder blade and keeping your elbow close to your side. | Step:4 Pause for a moment at the top of the movement, squeezing your back muscles. | Step:5 Slowly release the handle back to the starting position. | Step:6 Repeat with the other arm. | Step:7 Alternate between arms for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.0,6.0,7.0,7.0,6.0,2.3
4f8RXP8,Cable Standing Row (V-Bar),3,cable,upper back,"biceps, shoulders",back,3,https://static.exercisedb.dev/media/4f8RXP8.gif,"Step:1 Stand facing the cable machine with your feet shoulder-width apart. | Step:2 Grasp the v-bar attachment with an overhand grip, palms facing down. | Step:3 Keep your back straight and your core engaged. | Step:4 Pull the v-bar towards your body, squeezing your shoulder blades together. | Step:5 Pause for a moment at the peak of the movement, then slowly release the tension and return to the starting position. | Step:6 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,4.0,6.0,7.0,7.0,6.0,2.3
fUBheHs,Cable Seated Row,2,cable,upper back,"biceps, forearms",back,3,https://static.exercisedb.dev/media/fUBheHs.gif,"Step:1 Sit on the cable row machine with your feet flat on the footrests and your knees slightly bent. | Step:2 Grasp the handles with an overhand grip, keeping your back straight and your shoulders relaxed. | Step:3 Pull the handles towards your body, squeezing your shoulder blades together. | Step:4 Pause for a moment at the peak of the movement, then slowly release the handles back to the starting position. | Step:5 Repeat for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,5.0,7.0,6.0,6.0,4.0,2.3
JOZhu2h,Cable Standing Twist Row (V-Bar),5,cable,upper back,"biceps, shoulders",back,3,https://static.exercisedb.dev/media/JOZhu2h.gif,"Step:1 Attach a v-bar attachment to a cable machine at chest height. | Step:2 Stand facing the cable machine with your feet shoulder-width apart. | Step:3 Grasp the v-bar with an overhand grip, palms facing down. | Step:4 Take a step back to create tension in the cable. | Step:5 Keep your back straight and core engaged throughout the exercise. | Step:6 Pull the v-bar towards your torso by retracting your shoulder blades and bending your elbows. | Step:7 As you pull, twist your torso to one side, squeezing your shoulder blades together. | Step:8 Pause for a moment at the top of the movement, feeling the contraction in your upper back. | Step:9 Slowly release the tension and return to the starting position, untwisting your torso. | Step:10 Repeat the movement for the desired number of repetitions, alternating the twisting direction with each rep.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,2.0,3.0,5.0,7.0,8.0,2.3
225x2Vd,Band Kneeling Twisting Crunch,2,band,abs,obliques,waist,2,https://static.exercisedb.dev/media/225x2Vd.gif,"Step:1 Attach the band to a sturdy anchor point at waist height. | Step:2 Kneel down facing away from the anchor point and hold the band with both hands, keeping your elbows bent and close to your sides. | Step:3 Engage your abs and slowly twist your torso to one side, bringing your hands towards your opposite hip. | Step:4 Pause for a moment, then slowly return to the starting position. | Step:5 Repeat on the other side. | Step:6 Continue alternating sides for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,7.5,7.0,6.0,5.0,3.0,2.3
rjiM4L3,Walking On Incline Treadmill,3,leverage machine,cardiovascular system,"quadriceps, hamstrings, calves",cardio,4,https://static.exercisedb.dev/media/rjiM4L3.gif,"Step:1 Adjust the incline level on the treadmill to your desired intensity. | Step:2 Stand on the treadmill with your feet shoulder-width apart. | Step:3 Start walking at a comfortable pace, ensuring that you maintain proper form. | Step:4 Engage your core muscles and keep your back straight throughout the exercise. | Step:5 Continue walking on the incline treadmill for the desired duration of your cardio workout. | Step:6 Gradually decrease the incline and speed of the treadmill to cool down before stopping.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,5.0,6.0,7.0,6.0,5.0,2.3
gFyFj9z,Dumbbell Step-Up Lunge,3,dumbbell,quads,"glutes, hamstrings, calves",upper legs,4,https://static.exercisedb.dev/media/gFyFj9z.gif,"Step:1 Stand in front of a step or platform with a dumbbell in each hand, palms facing your sides. | Step:2 Place your right foot on the step, ensuring your entire foot is on the surface. | Step:3 Push through your right heel and lift your body up onto the step, bringing your left foot up as well. | Step:4 Once both feet are on the step, lower your left foot back down to the starting position, keeping your right foot on the step. | Step:5 Repeat the movement, alternating which foot you step up with each time. | Step:6 Continue for the desired number of repetitions.",9.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,8.0,0.0,Cardiovascular Training,2.1,5.9,0.0,0.0,2.1,6.5,6.0,7.0,6.0,5.0,2.3
